timer,tow,lla0,lla1,lla2,vel_ned0,vel_ned1,vel_ned2,hhva0,hhva1,hhva2,hhva3,acc0,acc1,acc2,rate0,rate1,rate2,quality0,quality1,quality2,
73850,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00452514970675,0.00366183114238,0.997430562973,-0.155179187655,0.0872263684869,0.0610240995884,0,0,0,
73860,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00567272631451,0.00397354038432,0.997997105122,-0.136751279235,0.117067590356,0.0780603140593,0,0,0,
73870,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00391728244722,0.00196166499518,0.99426651001,-0.135726258159,0.158095940948,0.0897126421332,0,0,0,
73880,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00435598567128,0.00292803556658,0.997756958008,-0.102419696748,0.0929712578654,0.0836360901594,0,0,0,
73890,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00583229027689,0.00364104122855,0.998080730438,-0.118487037718,0.127883166075,0.0947337597609,0,0,0,
73900,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00416877958924,0.00252367020585,0.995158731937,-0.141279995441,0.163202673197,0.0892916843295,0,0,0,
73910,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00426502106711,0.0030923821032,0.99605101347,-0.136183872819,0.127935990691,0.0663255900145,0,0,0,
73920,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00549468072131,0.00332232681103,0.997512817383,-0.147987350821,0.128675729036,0.0666753724217,0,0,0,
73930,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00451172376052,0.00325393793173,0.997189044952,-0.153585061431,0.140822693706,0.0841282084584,0,0,0,
73940,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00385782890953,0.00301665626466,0.996540248394,-0.153759360313,0.134737625718,0.101581051946,0,0,0,
73950,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0053305090405,0.00300146383233,0.997189700603,-0.159911036491,0.127927795053,0.0664748325944,0,0,0,
73960,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0050843283534,0.0032513467595,0.996620416641,-0.16611507535,0.13916657865,0.0545395798981,0,0,0,
73970,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00458935787901,0.00284736417234,0.996213257313,-0.148514345288,0.121825657785,0.071776330471,0,0,0,
73980,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00524768838659,0.00308296550065,0.996699333191,-0.142366081476,0.123266145587,0.083428658545,0,0,0,
73990,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00475715892389,0.00300558772869,0.996536552906,-0.113706104457,0.128776431084,0.0889419168234,0,0,0,
